DivClass,ButtonId,ButtonLabel,URL,URLThumbnailPicture,OnClickFunction,OnClickFunctionPlayListVideoListButtonId,OnClickFunctionVideoListFolderName,OnClickFunctionVideoListFileName,OnClickFunctionVideoListMusicVideoLinerNotesButtonE1a3b,OnClickFunctionVideoListMusicVideoLinerNotesButtonE1a3c,OnClickFunctionVideoListMusicVideoLinerNotesButtonE1a3d,OnClickFunctionVideoListMusicVideoLinerNotesButtonE1a3e,OnClickFunctionVideoListMusicVideoLinerNotesButtonE1a3f,OnClickFunctionVideoListMusicVideoLinerNotesButtonE1a3g,OnClickFunctionVideoListMusicVideoLinerNotesButtonE1a3h,OnClickFunctionVideoListMusicVideoLinerNotesButtonE1a3i,OnClickFunctionVideoListMusicVideoLinerNotesButtonE1a3j,OnClickFunctionVideoListMusicVideoLinerNotesButtonE1a3k
Section-D1a2-PlayList,PlayListButton-AA,"AA. Nu-World, eclectic elation",,,ClickedPlayListButton,PlayListButton-AA,Section-D1a5-VideoList-AA,,,,,,,,,,,
Section-D1a2-PlayList,PlayListButton-AB,"AB. Nu-R&BSoul, funky floatation",,,ClickedPlayListButton,PlayListButton-AB,Section-D1a5-VideoList-AB,,,,,,,,,,,
Section-D1a2-PlayList,PlayListButton-AC,"AC. Nu-R&BSoul, funky floatation",,,ClickedPlayListButton,PlayListButton-AC,Section-D1a5-VideoList-AC,,,,,,,,,,,
Section-D1a2-PlayList,PlayListButton-AD,"AD. Nu-R&BSoul, funky floatation",,,ClickedPlayListButton,PlayListButton-AD,Section-D1a5-VideoList-AD,,,,,,,,,,,
Section-D1a2-PlayList,PlayListButton-AE,"AE. Nu-R&BSoul, funky floatation",,,ClickedPlayListButton,PlayListButton-AE,Section-D1a5-VideoList-AE,,,,,,,,,,,
Section-D1a2-PlayList,PlayListButton-AF,"AF. ??????, ?????? ??????",,,ClickedPlayListButton,PlayListButton-AF,Section-D1a5-VideoList-AF,,,,,,,,,,,
Section-D1a2-PlayList,PlayListButton-AG,"AG. Nu-R&BSoul, soulful relaxation",,,ClickedPlayListButton,PlayListButton-AG,Section-D1a5-VideoList-AG,,,,,,,,,,,
Section-D1a2-PlayList,PlayListButton-AH,"AH. Nu-Disco, dancing exhilaration",,,ClickedPlayListButton,PlayListButton-AH,Section-D1a5-VideoList-AH,,,,,,,,,,,
Section-D1a2-PlayList,PlayListButton-AI,"AI. Nu-Disco, dancing exhilaration",,,ClickedPlayListButton,PlayListButton-AI,Section-D1a5-VideoList-AI,,,,,,,,,,,
Section-D1a2-PlayList,PlayListButton-AJ,"AJ. Nu-Lounge, chilling meditation",,,ClickedPlayListButton,PlayListButton-AJ,Section-D1a5-VideoList-AJ,,,,,,,,,,,
Section-D1a2-PlayList,PlayListButton-AK,"AK. R&BSoul, divine harmonization",,,ClickedPlayListButton,PlayListButton-AK,Section-D1a5-VideoList-AK,,,,,,,,,,,
Section-D1a2-PlayList,PlayListButton-AL,"AL. R&BSoul, rhytmic inspiration",,,ClickedPlayListButton,PlayListButton-AL,Section-D1a5-VideoList-AL,,,,,,,,,,,
Section-D1a2-PlayList,PlayListButton-AM,"AM. Pop, melodic exaltation",,,ClickedPlayListButton,PlayListButton-AM,Section-D1a5-VideoList-AM,,,,,,,,,,,
Section-D1a2-PlayList,PlayListButton-AN,"AN. Rock, superb orchestration",,,ClickedPlayListButton,PlayListButton-AN,Section-D1a5-VideoList-AN,,,,,,,,,,,
Section-D1a2-PlayList,PlayListButton-AO,"AO. Rock, classic eternization",,,ClickedPlayListButton,PlayListButton-AO,Section-D1a5-VideoList-AO,,,,,,,,,,,
Section-D1a2-PlayList,PlayListButton-AP,"AP. Rock, classic eternization",,,ClickedPlayListButton,PlayListButton-AP,Section-D1a5-VideoList-AP,,,,,,,,,,,
Section-D1a2-PlayList,PlayListButton-AQ,"AQ. Rock, vocal captivation",,,ClickedPlayListButton,PlayListButton-AQ,Section-D1a5-VideoList-AQ,,,,,,,,,,,
Section-D1a2-PlayList,PlayListButton-AR,"AR. SmoothJazz, spiritful elevation",,,ClickedPlayListButton,PlayListButton-AR,Section-D1a5-VideoList-AR,,,,,,,,,,,
Section-D1a2-PlayList,PlayListButton-AS,"AS. SmoothJazz, spiritful elevation",,,ClickedPlayListButton,PlayListButton-AS,Section-D1a5-VideoList-AS,,,,,,,,,,,
Section-D1a2-PlayList,PlayListButton-AT,"AT. ClassicJazz, ultimate gratification",,,ClickedPlayListButton,PlayListButton-AT,Section-D1a5-VideoList-AT,,,,,,,,,,,
Section-D1a2-PlayList,PlayListButton-AU,"AU. Soundtrack, moodful perfection",,,ClickedPlayListButton,PlayListButton-AU,Section-D1a5-VideoList-AU,,,,,,,,,,,
Section-D1a2-PlayList,PlayListButton-AV,"AV. Soundtrack, moodful perfection",,,ClickedPlayListButton,PlayListButton-AV,Section-D1a5-VideoList-AV,,,,,,,,,,,
